Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,2963,2324,1198,119,477,46,162,627,54,178
E:\Thesis\RISCV\RISC_V\rtl,21,2963,2324,1198,119,477,46,162,627,54,178
